id,subject,body,label
1,Oferta exclusiva,Compra ahora y recibe un regalo especial.,SPAM
2,Oferta exclusiva,Trabaja desde casa y gana $500 diarios.,SPAM
3,Descuento limitado,Haz clic aquí para reclamar tu recompensa.,SPAM
4,Premio garantizado,Consigue miles de seguidores en minutos.,SPAM
5,Cita médica,La entrega de su pedido ha sido confirmada.,HAM
6,Descuento limitado,Haz clic aquí para reclamar tu recompensa.,SPAM
7,Dinero rápido,Consigue miles de seguidores en minutos.,SPAM
8,Agenda de trabajo,El horario de las clases ha sido actualizado.,HAM
9,Increíble inversión,Trabaja desde casa y gana $500 diarios.,SPAM
10,Compra ahora,Accede a tu cuenta y reclama tu premio ahora.,SPAM
11,Consigue seguidores,Accede a tu cuenta y reclama tu premio ahora.,SPAM
12,Entrega confirmada,Nos vemos mañana en el evento de networking.,HAM
13,Factura disponible,Le recordamos su cita médica programada.,HAM
14,Agenda de trabajo,Aquí están los resultados de su último examen.,HAM
15,Horario de clases,Aquí están los resultados de su último examen.,HAM
16,Agenda de trabajo,Gracias por asistir a la capacitación.,HAM
17,Cita médica,Se adjunta comprobante de pago realizado.,HAM
18,Tu cuenta fue seleccionada,Inversión segura con retorno garantizado.,SPAM
19,Compra ahora,Multiplica tu dinero con esta increíble inversión.,SPAM
20,Resultados del examen,Se adjunta comprobante de pago realizado.,HAM
21,Premio garantizado,Multiplica tu dinero con esta increíble inversión.,SPAM
22,Premio garantizado,Haz clic aquí para reclamar tu recompensa.,SPAM
23,Dinero rápido,Has sido seleccionado para recibir un premio en efectivo.,SPAM
24,Horario de clases,Aquí están los resultados de su último examen.,HAM
25,Trabajo desde casa,Has sido seleccionado para recibir un premio en efectivo.,SPAM
26,Trabajo desde casa,Accede a tu cuenta y reclama tu premio ahora.,SPAM
27,Consigue seguidores,Gana un iPhone gratis haciendo clic aquí.,SPAM
28,Resultados del examen,El horario de las clases ha sido actualizado.,HAM
29,Recordatorio de pago,Adjunto encontrará la agenda de la reunión semanal.,HAM
30,Descuento limitado,Compra ahora y recibe un regalo especial.,SPAM
31,Entrega confirmada,Adjunto encontrará la agenda de la reunión semanal.,HAM
32,Reunión programada,Su factura ya está disponible para su revisión.,HAM
33,Compra ahora,Has sido seleccionado para recibir un premio en efectivo.,SPAM
34,Dinero rápido,Multiplica tu dinero con esta increíble inversión.,SPAM
35,Factura disponible,Se adjunta comprobante de pago realizado.,HAM
36,Tu cuenta fue seleccionada,Multiplica tu dinero con esta increíble inversión.,SPAM
37,Oferta exclusiva,Has sido seleccionado para recibir un premio en efectivo.,SPAM
38,Premio garantizado,Trabaja desde casa y gana $500 diarios.,SPAM
39,Increíble inversión,Gana un iPhone gratis haciendo clic aquí.,SPAM
40,Descuento limitado,Accede a tu cuenta y reclama tu premio ahora.,SPAM
41,Dinero rápido,Has sido seleccionado para recibir un premio en efectivo.,SPAM
42,Trabajo desde casa,Consigue miles de seguidores en minutos.,SPAM
43,Increíble inversión,Multiplica tu dinero con esta increíble inversión.,SPAM
44,Resultados del examen,Adjunto encontrará la agenda de la reunión semanal.,HAM
45,Reunión programada,Le recordamos su cita médica programada.,HAM
46,Factura disponible,Le recordamos su cita médica programada.,HAM
47,Increíble inversión,Obtén descuentos de hasta el 80% solo hoy.,SPAM
48,Dinero rápido,Compra ahora y recibe un regalo especial.,SPAM
49,Hazte rico,Accede a tu cuenta y reclama tu premio ahora.,SPAM
50,Compra ahora,Has sido seleccionado para recibir un premio en efectivo.,SPAM
51,Horario de clases,Adjunto encontrará la agenda de la reunión semanal.,HAM
52,Compra ahora,Multiplica tu dinero con esta increíble inversión.,SPAM
53,Reunión programada,El horario de las clases ha sido actualizado.,HAM
54,Premio garantizado,Trabaja desde casa y gana $500 diarios.,SPAM
55,Entrega confirmada,Actualización del estado del proyecto adjunta.,HAM
56,Reunión programada,Aquí están los resultados de su último examen.,HAM
57,Increíble inversión,Compra ahora y recibe un regalo especial.,SPAM
58,Cita médica,Aquí están los resultados de su último examen.,HAM
59,Oferta exclusiva,Haz clic aquí para reclamar tu recompensa.,SPAM
60,Increíble inversión,Multiplica tu dinero con esta increíble inversión.,SPAM
61,Descuento limitado,Compra ahora y recibe un regalo especial.,SPAM
62,Resultados del examen,Adjunto encontrará la agenda de la reunión semanal.,HAM
63,Invitación al evento,Le recordamos su cita médica programada.,HAM
64,Hazte rico,Obtén descuentos de hasta el 80% solo hoy.,SPAM
65,Horario de clases,El horario de las clases ha sido actualizado.,HAM
66,Consigue seguidores,Multiplica tu dinero con esta increíble inversión.,SPAM
67,Compra ahora,Multiplica tu dinero con esta increíble inversión.,SPAM
68,Recordatorio de pago,La entrega de su pedido ha sido confirmada.,HAM
69,Cita médica,Gracias por asistir a la capacitación.,HAM
70,Reunión programada,Gracias por asistir a la capacitación.,HAM
71,Entrega confirmada,Gracias por asistir a la capacitación.,HAM
72,Resultados del examen,La entrega de su pedido ha sido confirmada.,HAM
